"","Probe_ID","DESIGN","COLOR_CHANNEL","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Feature","Chrom","Pos"
"cg00459801","cg00459801","II","Both",-0.689968298383799,-0.444002325933614,-6.6784851009958,4.21467045323817e-05,0.031793381404391,2.17181264977485,"ETV6","Body","12",11976225
"cg00495456","cg00495456","II","Both",-0.883590383253327,-2.68889411705072,-7.61301813348885,1.31542603363809e-05,0.0148126651263849,3.05586816138632,"FAM124A","Body","13",51815959
"cg00506299","cg00506299","II","Both",-0.972252787778624,-1.3438082330938,-9.53687808307418,1.60869643276703e-06,0.0041901505729126,4.50557724002438,"RFTN1","Body","3",16469127
"cg00526281","cg00526281","II","Both",1.1837745618279,-1.90067946403006,8.05895344524485,7.81881429403961e-06,0.010806887675424,3.43306069202593,"PTPRJ","Body","11",48101308
"cg00560428","cg00560428","II","Both",-0.821717213364789,0.373321084390236,-6.26503573911086,7.30382628702381e-05,0.0467395650570322,1.73675190617758,"MAPK1","Body","22",22215962
"cg00588517","cg00588517","II","Both",1.19658444010638,-0.24804741173401,6.71304572504251,4.02937009440175e-05,0.0306655103680002,2.20691182766436,"C2","1stExon","6",31895464
"cg00610205","cg00610205","II","Both",0.71016577155963,2.09293558169083,7.53017435096323,1.45241157693428e-05,0.0157742624550034,2.982751452168,"ASAH1","3'UTR","8",17914907
"cg00617656","cg00617656","II","Both",-1.62989813364165,1.58199461634972,-13.0000074983814,7.73344980152816e-08,0.000933396892932555,6.22473397631291,"SLC24A4","Body","14",92851449
"cg00637076","cg00637076","II","Both",-0.948758497160962,1.57744835118059,-7.85181081259255,9.92924868488764e-06,0.0124762320037023,3.26122947353956,"UBR2","Body","6",42578463
"cg00685976","cg00685976","II","Both",-1.07714600338547,-2.6453334694243,-6.64209294932317,4.41973467601678e-05,0.0329344023716102,2.13464508140415,"S100A8","TSS200","1",153363727
"cg00690596","cg00690596","II","Both",1.57327808370058,0.729918701415935,11.9757327246141,1.75020426918742e-07,0.00128190046738975,5.80754945678249,"ELF5","5'UTR","11",34533846
"cg00703481","cg00703481","II","Both",1.20221502917371,1.36393189974328,8.19143839031157,6.72671435897171e-06,0.00985368214736057,3.5399798613416,"ZNF217","1stExon","20",52198279
"cg00771469","cg00771469","II","Both",-0.615391302824491,-0.238586917611254,-6.28099556945383,7.14746708259202e-05,0.0461345374652377,1.7540740326273,"SLC7A7","Body","14",23260933
"cg00797407","cg00797407","II","Both",-0.851675980200824,-0.274375477810122,-6.7531469161824,3.82527483475121e-05,0.0299091119292096,2.24739746216163,"LINC00656","TSS200","20",23113340
"cg00799101","cg00799101","II","Both",1.58212988744313,1.08188199510455,6.89464791269276,3.18938239995534e-05,0.0262621359898703,2.38821003227825,"FCER2","TSS1500","19",7764649
"cg00843973","cg00843973","II","Both",1.50566435127536,0.762086654339702,7.2867306654587,1.9520656807919e-05,0.0188757482104259,2.76215140797299,"GABARAPL1","Body","12",10367690
"cg00883027","cg00883027","II","Both",-1.2421335123285,-2.46461149770712,-10.160324727469,8.75177300584662e-07,0.00291819527750047,4.88713087124836,"CD274","5'UTR","9",5455361
"cg00897095","cg00897095","II","Both",-1.61988575872233,0.249410208132903,-10.5633811161145,6.00118798568174e-07,0.00233757728855731,5.1145038743664,"THRAP3","Body","1",36765446
"cg00928816","cg00928816","II","Both",0.900190551285896,0.802704342941457,8.90046015750288,3.09873918750975e-06,0.00609224299876206,4.07483725442475,"ARID5B","Body","10",63809098
"cg00945409","cg00945409","II","Both",-1.23245306167475,0.507794492961691,-7.5283238392177,1.45564202721532e-05,0.0157742624550034,2.98110702834642,"LOC283050","Body","10",80737665
"cg00955413","cg00955413","II","Both",1.68466039462052,0.928988475935736,14.1978331265335,3.19082585394723e-08,0.000645843369110984,6.63909521009085,"TMED7-TICAM2","Body","5",114935797
"cg00962482","cg00962482","II","Both",-1.03921992091376,-2.20316142643641,-6.57921531988348,4.79974382891487e-05,0.0348567972562539,2.06992136972902,"PRKCH","Body","14",61810943
"cg01009216","cg01009216","II","Both",-1.24370526056294,-0.227502733179738,-9.57537485751445,1.54791201625553e-06,0.00411947459327344,4.53025047620527,"EEPD1","Body","7",36301371
"cg01091117","cg01091117","II","Both",0.686664027736931,-2.7800620146773,7.46799182381995,1.56532870577567e-05,0.0164588455433719,2.92722427030296,"PTGER4","Body","5",40682333
"cg01129238","cg01129238","II","Both",-1.57559511674104,-1.31262258755175,-13.2346435391396,6.46579046225509e-08,0.000893678614565452,6.31168796374064,"C6orf105","TSS1500","6",11779817
"cg01132502","cg01132502","I","Red",0.737065845004181,1.11174317722035,6.28878343937531,7.07247564107257e-05,0.0457756904895167,1.76251104731687,"TBC1D9B","TSS1500","5",179335607
"cg01136183","cg01136183","II","Both",-1.30452894872466,-1.58589960125133,-8.38922124727354,5.39170757534533e-06,0.00850388106612557,3.69539247255799,"TM7SF4","TSS1500","8",105351092
"cg01221377","cg01221377","II","Both",1.36901112901351,-1.27679299789922,6.22230676298851,7.74078259123091e-05,0.0487819813862208,1.69016353343441,"YWHAE","Body","17",1263732
"cg01313358","cg01313358","II","Both",1.05397435599534,-2.61545874720096,8.89706225233125,3.10991039840838e-06,0.00609842754378231,4.07241721762462,"RAB43","TSS1500","3",128841722
"cg01331579","cg01331579","II","Both",0.962064710847131,1.43967099733213,6.52114887263675,5.18197304637268e-05,0.0366995896388818,2.00957682454675,"CEP170","Body","1",243327942
"cg01364654","cg01364654","II","Both",1.76201218649973,0.900217234664393,7.75476229211586,1.11232005430558e-05,0.013385538685399,3.17872278575923,"DCTN4","Body","5",150111331
"cg01376622","cg01376622","II","Both",1.0489510823308,0.435470437260967,6.72642390614886,3.96000971303357e-05,0.0304546398470709,2.22044691688029,"CD163","Body","12",7632641
"cg01389386","cg01389386","II","Both",0.99634272681147,1.5266401881072,8.07547308568628,7.67273623220026e-06,0.0107086155249091,3.44651792147729,"ST3GAL2","5'UTR","16",70471055
"cg01429558","cg01429558","I","Red",1.67802219099042,0.235016846355897,13.1501514802611,6.89408835475453e-08,0.000925211660304582,6.28072087040235,"LEPRE1","Body","1",43214547
"cg01442843","cg01442843","II","Both",2.72581812303464,0.44567097043373,15.9014484631227,1.01175145724656e-08,0.000437969881811755,7.11938078443025,"RASSF5","Body","1",206729040
"cg01452308","cg01452308","II","Both",-1.05799335975218,1.68136787623751,-9.89307627177134,1.13174307761327e-06,0.00355333375552326,4.72819053604406,"LOC647323","Body","3",193682169
"cg01456691","cg01456691","II","Both",-1.02330621872017,-2.33558294306108,-9.28164364120538,2.08343328078185e-06,0.00477374727941112,4.33809341644485,"NEDD9","1stExon","6",11382556
"cg01469760","cg01469760","I","Red",0.890808182136147,0.896050252888501,7.20210415023721,2.1668803380959e-05,0.0201398131311125,2.68341840819104,"RHOBTB2","5'UTR","8",22861513
"cg01492604","cg01492604","II","Both",1.28125538450209,-1.56330369695391,9.74142581748053,1.31284358277156e-06,0.00380379676425789,4.63495540877716,"ALOX5","Body","10",45906434
"cg01512787","cg01512787","I","Red",1.17424082658996,1.54090194188342,9.75304191943765,1.29791471276007e-06,0.00380379676425789,4.6421768539893,"PRR5L","Body","11",36476319
"cg01524690","cg01524690","I","Red",1.69073466125183,-1.10667156851831,13.7255104509631,4.48623358367016e-08,0.000739315765318745,6.48423289628365,"ACP5","5'UTR","19",11688653
"cg01577837","cg01577837","II","Both",1.61164302012148,0.716031127852085,8.49333766339452,4.8066207840628e-06,0.00798254889134951,3.77522918803371,"C1QB","TSS1500","1",22979393
"cg01592949","cg01592949","II","Both",1.2412438261217,1.01931094559377,6.37347963240383,6.3092813965802e-05,0.0423058546052287,1.85360824157016,"E2F3","Body","6",20463690
"cg01612594","cg01612594","II","Both",0.851553399511848,-2.11121592332487,6.20402342350346,7.93624079543795e-05,0.0496855161817418,1.67013418304759,"STIM1","Body","11",3943262
"cg01629172","cg01629172","II","Both",-1.22971213318257,-1.94528807462906,-6.95256476970191,2.96279270237503e-05,0.0249895817318766,2.44493543620648,"SPAG6","Body","10",22658739
"cg01643513","cg01643513","II","Both",-1.62347916073521,-2.65894812384365,-10.245388644399,8.0736156474064e-07,0.00277131121504008,4.93632674506394,"R3HDM2","Body","12",57674078
"cg01666265","cg01666265","II","Both",1.24349654568917,0.472255752777245,7.58937863968181,1.35303422592079e-05,0.01505807604713,3.03510390032464,"RUNX2","Body","6",45482421
"cg01669573","cg01669573","II","Both",-0.849666665972813,0.581855720485653,-9.63682433184817,1.45598736014106e-06,0.00396094196944126,4.56932158401969,"DLGAP1","Body","18",3758773
"cg01673856","cg01673856","II","Both",-1.78859772265431,-2.3555665277869,-7.72744081684068,1.14866593704167e-05,0.0136315375245304,3.15526071317304,"TCF7L2","Body","10",114847319
"cg01688755","cg01688755","II","Both",0.927549000618388,-2.56938712883124,9.63803440580647,1.4542377041327e-06,0.00396094196944126,4.57008713899789,"LOC100996583","Body","1",2505158
"cg01692482","cg01692482","II","Both",1.26891365400524,1.59778866968359,9.13988088364664,2.41118078660367e-06,0.00510183231020673,4.24206663829753,"ZNF217","1stExon","20",52198378
"cg01707219","cg01707219","II","Both",1.31776053694379,0.964727597224642,12.2729815407309,1.37238456165598e-07,0.0011760539710346,5.93528263631529,"ITGA11","Body","15",68605424
"cg01734240","cg01734240","II","Both",-1.5309827233524,-1.47256215060382,-10.8153987698657,4.76904713371611e-07,0.00206518784898711,5.24953498291916,"NANOG","TSS1500","12",7941043
"cg01742428","cg01742428","II","Both",1.19857961330043,1.79031649043106,8.41225532661731,5.25592540692608e-06,0.00839459873761078,3.71317099581745,"FAM26F","TSS200","6",116782500
"cg01748255","cg01748255","II","Both",0.797353669851637,-0.707085607649153,7.27550842459956,1.97918255247639e-05,0.019056681515553,2.75177220399251,"MALT1","Body","18",56349813
"cg01775490","cg01775490","II","Both",1.35444834567922,-2.29093631394143,10.798449706452,4.84263626880822e-07,0.00206518784898711,5.24061949111322,"FOXN3","Body","14",89774948
"cg01793445","cg01793445","II","Both",-1.57213486409491,-0.858998755406196,-9.4322815788669,1.78731587284502e-06,0.00446041590006749,4.43776786112951,"RCSD1","Body","1",167632415
"cg01844798","cg01844798","II","Both",-0.93072119935514,-1.00354259042963,-8.59370630791784,4.30715895874099e-06,0.00741161729401891,3.8509308410245,"ALOX5AP","Body","13",31317247
"cg01870058","cg01870058","II","Both",-0.877507153272338,-2.92008278253566,-6.65844624847867,4.32628977225663e-05,0.0324225974547239,2.15137332208925,"SYTL1","TSS1500","1",27668112
"cg01958606","cg01958606","II","Both",1.35735138451126,1.14325434200488,7.90228079917479,9.36369389290043e-06,0.0120301987585755,3.30362792822815,"CLCN6","Body","1",11892551
"cg01969278","cg01969278","II","Both",0.803133175053188,0.308032226898323,7.19342152156894,2.19032064875771e-05,0.0202042815649917,2.67527972377257,"ARID5B","TSS200","10",63808948
"cg01978458","cg01978458","II","Both",1.05760080970938,0.299066540976148,8.76171167154641,3.5924046022382e-06,0.00669236833219975,3.97493282758259,"TTYH3","Body","7",2683257
"cg01998750","cg01998750","II","Both",0.943410548412887,-1.54636070310558,6.63704558988286,4.44901223114223e-05,0.0330827700699011,2.1294732493487,"FRMD4B","Body","3",69434842
"cg02012033","cg02012033","II","Both",1.37098296886561,1.11570316178777,9.81186528786876,1.22509106666731e-06,0.00369659151004233,4.67854157378325,"EPN2","Body","17",19213451
"cg02035751","cg02035751","II","Both",2.31089376786847,-1.24381335716726,12.9406880733251,8.09521477385552e-08,0.000950291717635246,6.20227081522098,"RASSF5","Body","1",206729099
"cg02075791","cg02075791","II","Both",1.153370392782,2.04236735546812,7.85825905289517,9.85497807775596e-06,0.0124204549323843,3.26666576729546,"LOC100188947","Body","10",93174498
"cg02097120","cg02097120","II","Both",1.18373553473315,0.071253426082417,7.4610007229129,1.57860431212176e-05,0.0165335850604891,2.92094652470764,"TDRD10","Body","1",154492952
"cg02097398","cg02097398","II","Both",-0.603522412474439,2.10240176858314,-6.49333877746758,5.37650236748711e-05,0.0375803482202213,1.98047957636484,"ZBTB20","Body","3",114277403
"cg02103115","cg02103115","II","Both",1.85189369596508,0.575336962137345,6.69244048277872,4.13876742953766e-05,0.031303474303644,2.1860086480154,"MKLN1","Body","7",130958055
"cg02119598","cg02119598","II","Both",1.06546963917722,-1.11519484322407,7.5991673331563,1.33732242268973e-05,0.014902571541542,3.04371162696548,"ZNRF1","Body","16",75096992
"cg02138124","cg02138124","II","Both",0.846839130767532,1.49540529916958,9.45484205865156,1.74704416055845e-06,0.00439036808515332,4.4524898033091,"EIF4EBP1","Body","8",37901697
"cg02215627","cg02215627","II","Both",1.78075781561807,-0.900935538025038,6.92175058111282,3.08110898992351e-05,0.0258096940375663,2.41482044319237,"A2M","TSS200","12",9268665
"cg02227812","cg02227812","II","Both",1.06969662838257,2.46650714353342,12.5262019192579,1.12012379083956e-07,0.0010993927798856,6.03967805288299,"CTIF","Body","18",46323217
"cg02250581","cg02250581","II","Both",-1.40218080835379,-0.644524244804591,-7.81456514778681,1.03702479526955e-05,0.0128979695516383,3.22971772981583,"C10orf54","Body","10",73526617
"cg02266544","cg02266544","II","Both",1.08809666437677,-0.475788401874574,6.90389548879619,3.15198570446162e-05,0.0261675058173285,2.39730258432682,"LY96","Body","8",74904535
"cg02276017","cg02276017","II","Both",0.978966967317133,-2.09773378837053,7.37454291254041,1.75320958487737e-05,0.0177033448222839,2.84272311674909,"PSMA1","Body","11",14576651
"cg02343881","cg02343881","II","Both",0.964984382047574,-1.89145194618808,7.72231093271468,1.15563215434816e-05,0.0136315375245304,3.15084390638756,"PLD1","5'UTR","3",171483534
"cg02370669","cg02370669","II","Both",-1.40781209575587,-1.28030629287063,-6.73303312110034,3.92621835541882e-05,0.0303933280029748,2.22712305236367,"SUPT3H","Body","6",44934650
"cg02404255","cg02404255","II","Both",0.882356781170774,1.51366406716771,7.9655432120293,8.70344180021417e-06,0.0114567508804288,3.35628643436612,"ESR1","Body","6",152419175
"cg02410245","cg02410245","II","Both",0.577585454172779,0.5392190090377,6.6169247761417,4.56781263199243e-05,0.0335132747644251,2.10881515201736,"IFFO1","3'UTR","12",6649349
"cg02438816","cg02438816","II","Both",1.0328619687033,1.43516732152105,7.20637204640126,2.15545760202003e-05,0.0200553979195466,2.68741477288171,"GRB2","Body","17",73368189
"cg02442799","cg02442799","II","Both",1.34022262562492,-0.954987405532047,8.6351001763514,4.11779201959742e-06,0.00720952170753926,3.88179589784149,"MIR548AJ2","Body","4",23336107
"cg02443355","cg02443355","II","Both",-1.33482895885043,1.4603496513404,-8.81288958377889,3.40104879635403e-06,0.0065055838340295,4.01204331422238,"EPB41L3","5'UTR","18",5584914
"cg02451548","cg02451548","II","Both",-1.19298326509305,0.500895270642789,-9.40341617151854,1.84031686523143e-06,0.00449818041870924,4.41885393261829,"TSPAN14","5'UTR","10",82237798
"cg02471676","cg02471676","II","Both",0.984141912950874,-1.40565025134993,7.9226357591581,9.14553516345339e-06,0.0118208042142384,3.32062986993441,"NRG1","Body","8",32447110
"cg02484781","cg02484781","II","Both",2.23421916291402,-0.994754486126907,11.8014282473343,2.02344281145313e-07,0.00136533317301754,5.7299287313968,"MMP20","Body","11",102459860
"cg02490678","cg02490678","II","Both",-1.24038169808897,0.471569763595601,-7.50008118013625,1.50591948786602e-05,0.0160308777362842,2.95594867535522,"DYRK4","5'UTR","12",4699548
"cg02491794","cg02491794","II","Both",1.25680635802763,-1.78006604021877,7.04841658711643,2.62497735398255e-05,0.0228139284348531,2.53766960445752,"TTC7A","Body","2",47204734
"cg02519044","cg02519044","II","Both",1.30474639590664,-0.354878055429677,9.70746647784463,1.35756662382954e-06,0.00382682847946623,4.61376693230229,"CTSH","Body","15",79219325
"cg02536320","cg02536320","II","Both",-1.50829751473473,0.406737799136146,-12.4019687089963,1.23692788156095e-07,0.00113345949082028,5.98895551004494,"FGGY","Body","1",59921149
"cg02824251","cg02824251","II","Both",1.77218991882311,1.64826137699339,10.6448319588173,5.56881329788101e-07,0.00226168246687808,5.15872875217284,"ARID3A","Body","19",939810
"cg02830023","cg02830023","II","Both",0.974784146070905,-2.15376948725539,6.94002153906278,3.01035366184787e-05,0.0252911616440318,2.43269470148268,"DTNBP1","Body","6",15575773
"cg02830749","cg02830749","II","Both",-1.12538460767115,-1.42067434194856,-9.25594944689571,2.1390559835557e-06,0.00483653538960472,4.32085047854642,"KIAA0922","Body","4",154451068
"cg02901136","cg02901136","II","Both",-0.963368429903171,-2.21115875306295,-7.87000450107699,9.72123186810942e-06,0.0123232720111264,3.27655340172006,"S100A12","TSS1500","1",153348305
"cg02932854","cg02932854","II","Both",0.909592014640876,-0.944187524690101,6.19923174788451,7.98833662784311e-05,0.0497134434752152,1.66487551709096,"CCL24","TSS1500","7",75444115
"cg02966448","cg02966448","II","Both",-1.29493800353548,0.456843520887046,-6.65047283387857,4.37158284754825e-05,0.0326323427573492,2.14322250529113,"CPEB4","TSS1500","5",173319119
"cg02968257","cg02968257","II","Both",0.916231598072519,2.02051086367206,8.92876840131493,3.00734286368773e-06,0.00593806084860436,4.09494739139239,"PFAS","Body","17",8170931
"cg02972749","cg02972749","II","Both",0.810135688111911,-2.60781611048922,7.53904118381942,1.43703965210303e-05,0.0156588559273028,2.99062399316441,"LTC4S","5'UTR","5",179221020
"cg03024546","cg03024546","II","Both",2.16863908654793,1.39374532999038,12.580433297462,1.07294972139226e-07,0.00108171256488156,6.06152618643003,"CLEC16A","Body","16",11223516
"cg03034696","cg03034696","II","Both",0.879512617636309,-0.311487193340244,7.34334934825992,1.82122778375992e-05,0.0181264411088362,2.81423194958055,"CALM2","Body","2",47400023
"cg03040432","cg03040432","II","Both",1.33033575269182,0.764099443660784,7.7219202842233,1.1561645083331e-05,0.0136315375245304,3.15050740975027,"ABHD12","Body","20",25359861
"cg03064546","cg03064546","II","Both",0.830777701395496,2.18551532454782,6.75921883943229,3.79535326790638e-05,0.0297414471494567,2.25350515619595,"LINC00607","Body","2",216631262
"cg03074223","cg03074223","II","Both",0.87866118330618,-2.7752218272593,7.1784833041438,2.23129089379652e-05,0.0204720222817107,2.6612507620942,"LPAR5","TSS1500","12",6741660
"cg03252775","cg03252775","II","Both",1.04914312738281,1.8813278088114,8.19322358929744,6.71317548637326e-06,0.00985368214736057,3.54140497720871,"COL18A1","Body","21",46891067
"cg03258139","cg03258139","II","Both",-0.643169707223129,-2.51816210024198,-6.2807905217405,7.14945302644002e-05,0.0461345374652377,1.75385175524304,"SMARCA2","TSS1500","9",2013970
"cg03280235","cg03280235","II","Both",0.838951052538317,1.0950693936931,6.34499430134781,6.5556043935293e-05,0.0435486258930216,1.8231044514829,"PBX2","TSS1500","6",32158953
"cg03301995","cg03301995","II","Both",2.36605249396961,-0.310634936490125,8.10290353528392,7.43665248877584e-06,0.0104708527603662,3.46878401908897,"CTTNBP2","Body","7",117369674
"cg03312984","cg03312984","II","Both",-0.85507290518714,1.76229788203983,-7.29680246485673,1.92806950182191e-05,0.0187541854146456,2.7714506540928,"SOAT1","Body","1",179279856
"cg03350316","cg03350316","II","Both",1.26953506209424,1.0916686700949,7.51256446947989,1.48346948100819e-05,0.0159304173432847,2.96708283550557,"LRRC8A","Body","9",131674858
"cg03414575","cg03414575","II","Both",0.939413843798373,-1.48796621837128,8.6210899223402,4.18085663115255e-06,0.00725253369071484,3.87137233576173,"STAM","Body","10",17697601
"cg03420872","cg03420872","II","Both",-0.857440487078373,0.882193561097717,-7.70660715654608,1.17724243009372e-05,0.0137818098706199,3.13730024205289,"TNFRSF8","5'UTR","1",12156007
"cg03444488","cg03444488","II","Both",-1.83311637923419,1.10317462449905,-11.2870189351043,3.13944341693385e-07,0.0017027347598697,5.48842709539178,"ACSL1","TSS1500","4",185733828
"cg03459839","cg03459839","II","Both",1.35911647412297,-0.890094076013348,7.47842277540824,1.54574445231992e-05,0.0163161415379146,2.93657772491234,"GNA12","TSS200","7",2802778
"cg03526142","cg03526142","II","Both",2.53702636644273,-1.01089793485609,10.576051106389,5.93160010288459e-07,0.00233166846576428,5.12142034648268,"SLFN12L","5'UTR","17",33864734
"cg03550138","cg03550138","II","Both",-0.648778373639302,-1.24091655857924,-6.58732724998166,4.74880407279188e-05,0.0345747634642856,2.07830763520516,"ABCB8","Body","7",150736206
"cg03570943","cg03570943","II","Both",-0.955794801431298,1.41128076975695,-8.16138035318756,6.95916283885086e-06,0.0100308134618926,3.51592276158776,"SON","ExonBnd","21",34931550
"cg03585096","cg03585096","II","Both",-1.6754938423723,-1.26930629247218,-13.7291654015624,4.47423935555345e-08,0.000739315765318745,6.48547209396993,"PSPC1","Body","13",20287930
"cg03589696","cg03589696","II","Both",-1.43756494717723,0.242888284778689,-7.47827302694026,1.54602372972488e-05,0.0163161415379146,2.93644355645812,"HIVEP3","5'UTR","1",42105522
"cg03616753","cg03616753","II","Both",-1.32653433549956,-0.0156020128031215,-6.81168531862573,3.54704758843807e-05,0.0284608057540383,2.30603592202992,"LINC01605","Body","8",37378540
"cg03664987","cg03664987","II","Both",-1.03608996456107,1.63780169474431,-9.18571207297134,2.2994891314954e-06,0.00497712974788333,4.27335098393638,"AGPAT4","Body","6",161589677
"cg03688987","cg03688987","II","Both",0.934047182795049,-1.36975983581695,6.82522722631912,3.48583519883563e-05,0.0281276703103635,2.31952339299919,"LILRB5","TSS200","19",54761178
"cg03699176","cg03699176","II","Both",2.19998147721948,1.0580691067808,13.0382149620896,7.50978318846148e-08,0.000925211660304582,6.23909869611606,"RGL1","Body","1",183860765
"cg03724203","cg03724203","II","Both",1.81354949183294,0.556410304388084,10.0092303019905,1.01138958288981e-06,0.00327057438468212,4.79809848511628,"CHST11","Body","12",104999560
"cg03741350","cg03741350","II","Both",0.79849843859796,-0.280200348467919,6.65085693282268,4.36938932501493e-05,0.0326323427573492,2.14361538602797,"RNF135","TSS1500","17",29296455
"cg03743624","cg03743624","II","Both",-1.69244479307883,0.955538450559061,-10.7824531441831,4.91322303054202e-07,0.00208112184516406,5.23218338123004,"RFTN1","5'UTR","3",16549040
"cg03745755","cg03745755","II","Both",-0.964548087350603,-2.52927281486833,-7.32318918913584,1.86669767677481e-05,0.0184049010148654,2.79574206064386,"OTUD7A","Body","15",31780528
"cg03824789","cg03824789","II","Both",-1.15904089516242,0.823491602364291,-8.57112503570506,4.41441993670983e-06,0.00753566105458963,3.83400608414285,"NUTF2","5'UTR","16",67895101
"cg03825855","cg03825855","II","Both",0.829601658118352,0.383550913663218,7.19732300389296,2.17975427079073e-05,0.0201795270157136,2.67893819246795,"CCDC101","5'UTR","16",28568244
"cg03877960","cg03877960","I","Red",1.60900629444899,2.33892116460776,8.43757635313638,5.11091808643481e-06,0.00826369880533136,3.73263842552303,"NAGPA","Body","16",5079023
"cg03881418","cg03881418","II","Both",-0.856161781114365,-1.76369650788037,-8.36420533121904,5.54348406979738e-06,0.00861018719630849,3.67600914552414,"APP","1stExon","21",27512686
"cg03906910","cg03906910","II","Both",-1.2030322437512,-1.41893155219099,-6.94039525630595,3.00892479805025e-05,0.0252911616440318,2.43305976061368,"NR3C1","1stExon","5",142814388
"cg03908676","cg03908676","II","Both",1.49087558224858,-0.0902038297860864,10.8010547396042,4.83124596594646e-07,0.00206518784898711,5.2419913155858,"LYVE1","1stExon","11",10590282
"cg04030785","cg04030785","II","Both",1.3026935417507,1.46390403608386,7.88472230024374,9.55640043708374e-06,0.0121864299157075,3.28891675624103,"ARHGAP10","Body","4",148676772
"cg04044935","cg04044935","II","Both",-1.28185167276852,-2.83600788084719,-9.52327955725663,1.63078262055635e-06,0.0042092955434482,4.49682538159991,"RFTN1","Body","3",16469032
"cg04097715","cg04097715","II","Both",1.91499406503593,0.399743258251632,10.5121395376544,6.291808615256e-07,0.00238647175241942,5.08639079136633,"C1QB","TSS1500","1",22979387
"cg04148945","cg04148945","II","Both",1.67803742792848,-0.158394211116844,9.56969153994205,1.55672673709483e-06,0.00413010688402326,4.52661748001496,"STK10","Body","5",171474738
"cg04189723","cg04189723","II","Both",-1.53674005198871,-0.103436850404745,-10.884042127085,4.48320309826202e-07,0.00201143718818369,5.28540263357043,"ZXDB","1stExon","X",57622899
"cg04200556","cg04200556","II","Both",-0.83436092694931,1.00542102778916,-7.23139907853658,2.08976699412341e-05,0.0196709802493813,2.71079447258429,"TDP2","Body","6",24660509
"cg04216721","cg04216721","II","Both",1.97303873768235,-2.10161197722826,11.7245511481913,2.15842064956158e-07,0.00142471829105511,5.69503428901172,"ARHGAP18","Body","6",130010950
