"","Pathway","N","DE","P.DE","FDR.DE"
"path:hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",20,3,0.0259141190653174,0.0782418879066727
"path:hsa00770","Pantothenate and CoA biosynthesis",21,2,0.148192952078053,0.298079537894141
"path:hsa00220","Arginine biosynthesis",22,1,0.517336831561976,0.771621036905997
"path:hsa00340","Histidine metabolism",22,0,1,1
"path:hsa03060","Protein export",22,1,0.517336831561976,0.771621036905997
"path:hsa03430","Mismatch repair",22,0,1,1
"path:hsa00900","Terpenoid backbone biosynthesis",23,1,0.533065210373198,0.786425366955248
"path:hsa04614","Renin-angiotensin system",23,1,0.533065210373198,0.786425366955248
"path:hsa04964","Proximal tubule bicarbonate reclamation",23,0,1,1
"path:hsa04977","Vitamin digestion and absorption",23,0,1,1
"path:hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",24,0,1,1
"path:hsa00592","alpha-Linolenic acid metabolism",24,0,1,1
"path:hsa00790","Folate biosynthesis",24,0,1,1
"path:hsa00970","Aminoacyl-tRNA biosynthesis",25,0,1,1
"path:hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",26,1,0.577245523436786,0.839629852271689
"path:hsa04950","Maturity onset diabetes of the young",26,0,1,1
"path:hsa00062","Fatty acid elongation",27,0,1,1
"path:hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series",27,0,1,1
"path:hsa00650","Butanoate metabolism",27,0,1,1
"path:hsa01040","Biosynthesis of unsaturated fatty acids",27,0,1,1
"path:hsa04966","Collecting duct acid secretion",27,0,1,1
"path:hsa00591","Linoleic acid metabolism",28,0,1,1
"path:hsa04392","Hippo signaling pathway - multiple species",28,1,0.604354706110745,0.861266625712479
"path:hsa04744","Phototransduction",28,2,0.231104428856732,0.421496160401915
"path:hsa05310","Asthma",28,1,0.604354706110745,0.861266625712479
"path:hsa00052","Galactose metabolism",29,0,1,1
"path:hsa00630","Glyoxylate and dicarboxylate metabolism",29,0,1,1
"path:hsa01523","Antifolate resistance",29,3,0.0670999729588047,0.173670518246318
"path:hsa00020","Citrate cycle (TCA cycle)",30,2,0.25542631938197,0.458724818481905
"path:hsa00030","Pentose phosphate pathway",30,0,1,1
"path:hsa00053","Ascorbate and aldarate metabolism",30,0,1,1
"path:hsa00051","Fructose and mannose metabolism",31,0,1,1
"path:hsa00410","beta-Alanine metabolism",31,0,1,1
"path:hsa00640","Propanoate metabolism",31,0,1,1
"path:hsa03020","RNA polymerase",31,0,1,1
"path:hsa04215","Apoptosis - multiple species",31,0,1,1
"path:hsa00500","Starch and sucrose metabolism",32,1,0.653476172481348,0.916428735910097
"path:hsa04130","SNARE interactions in vesicular transport",32,3,0.084898582457688,0.197470982065224
"path:hsa04136","Autophagy - other",32,3,0.084898582457688,0.197470982065224
"path:hsa03410","Base excision repair",33,0,1,1
"path:hsa04710","Circadian rhythm",33,0,1,1
"path:hsa00040","Pentose and glucuronate interconversions",34,1,0.67570338846272,0.936407845428651
"path:hsa00250","Alanine, aspartate and glutamate metabolism",35,1,0.686277256339624,0.93995951062859
"path:hsa00512","Mucin type O-glycan biosynthesis",35,2,0.316191880647988,0.559294180844683
"path:hsa00760","Nicotinate and nicotinamide metabolism",35,0,1,1
"path:hsa01250","Biosynthesis of nucleotide sugars",35,0,1,1
"path:hsa03030","DNA replication",35,1,0.686277256339624,0.93995951062859
"path:hsa05330","Allograft rejection",35,3,0.104466384608705,0.229826046139151
"path:hsa00350","Tyrosine metabolism",36,0,1,1
"path:hsa03440","Homologous recombination",36,0,1,1
"path:hsa05143","African trypanosomiasis",36,4,0.0287500497853241,0.0850421640708747
"path:hsa05340","Primary immunodeficiency",36,2,0.328241421405254,0.569167390811082
"path:hsa04960","Aldosterone-regulated sodium reabsorption",37,4,0.0314315452794644,0.0892250317610603
"path:hsa05216","Thyroid cancer",37,4,0.0314315452794644,0.0892250317610603
"path:hsa00513","Various types of N-glycan biosynthesis",38,3,0.12561382355336,0.255948866865948
"path:hsa05332","Graft-versus-host disease",38,2,0.35215553405933,0.595955519177328
"path:hsa00380","Tryptophan metabolism",39,0,1,1
"path:hsa00260","Glycine, serine and threonine metabolism",40,2,0.375766596565938,0.623914349015142
"path:hsa04975","Fat digestion and absorption",40,1,0.734200986696508,0.992999124271344
"path:hsa05033","Nicotine addiction",40,0,1,1
"path:hsa04216","Ferroptosis",41,5,0.0102469729037435,0.036069344621177
"path:hsa04940","Type I diabetes mellitus",41,3,0.148142747054627,0.298079537894141
"path:hsa05219","Bladder cancer",41,4,0.0435825765912337,0.120795802835545
"path:hsa00565","Ether lipid metabolism",42,2,0.399015361964306,0.642307317035741
"path:hsa00860","Porphyrin metabolism",42,2,0.399015361964306,0.642307317035741
"path:hsa00071","Fatty acid degradation",43,1,0.759370265667918,1
"path:hsa04973","Carbohydrate digestion and absorption",43,4,0.0505156646022855,0.136780876461573
"path:hsa03022","Basal transcription factors",44,2,0.421851392667934,0.674962228268695
"path:hsa04962","Vasopressin-regulated water reabsorption",44,1,0.767219541784197,1
"path:hsa02010","ABC transporters",45,4,0.0580165923972397,0.154710913059306
"path:hsa03050","Proteasome",45,1,0.774813143625279,1
"path:hsa03420","Nucleotide excision repair",45,1,0.774813143625279,1
"path:hsa00514","Other types of O-glycan biosynthesis",46,3,0.188216484657492,0.358120014051011
"path:hsa04672","Intestinal immune network for IgA production",46,3,0.188216484657492,0.358120014051011
"path:hsa04930","Type II diabetes mellitus",46,8,0.000105647333348258,0.00100483479767033
"path:hsa00280","Valine, leucine and isoleucine degradation",47,2,0.455240536459658,0.705923651250218
"path:hsa00520","Amino sugar and nucleotide sugar metabolism",47,2,0.455240536459658,0.705923651250218
"path:hsa00620","Pyruvate metabolism",47,0,1,1
"path:hsa00270","Cysteine and methionine metabolism",49,4,0.0746892350528839,0.182573685684827
"path:hsa00330","Arginine and proline metabolism",49,0,1,1
"path:hsa05030","Cocaine addiction",49,0,1,1
"path:hsa05144","Malaria",49,4,0.0746892350528839,0.182573685684827
"path:hsa00510","N-Glycan biosynthesis",50,3,0.222024893822883,0.407045638675285
"path:hsa00600","Sphingolipid metabolism",50,3,0.222024893822883,0.407045638675285
"path:hsa03460","Fanconi anemia pathway",50,0,1,1
"path:hsa04979","Cholesterol metabolism",50,2,0.487492837338792,0.739644304927823
"path:hsa05110","Vibrio cholerae infection",50,2,0.487492837338792,0.739644304927823
"path:hsa05320","Autoimmune thyroid disease",50,5,0.0228507131832139,0.071180982659215
"path:hsa04913","Ovarian steroidogenesis",51,2,0.497975742968714,0.75230670182398
"path:hsa05322","Systemic lupus erythematosus",51,6,0.00603564590362935,0.023606081756417
"path:hsa04340","Hedgehog signaling pathway",52,3,0.239358888224552,0.432073480282268
"path:hsa04961","Endocrine and other factor-regulated calcium reabsorption",53,4,0.0935045169129634,0.212345741634601
"path:hsa00561","Glycerolipid metabolism",55,4,0.103673855406656,0.229826046139151
"path:hsa04923","Regulation of lipolysis in adipocytes",55,4,0.103673855406656,0.229826046139151
"path:hsa00240","Pyrimidine metabolism",56,1,0.843664350543712,1
"path:hsa00480","Glutathione metabolism",56,1,0.843664350543712,1
"path:hsa01212","Fatty acid metabolism",56,2,0.54827858879985,0.80414193023978
"path:hsa00590","Arachidonic acid metabolism",57,4,0.114324251275203,0.245378880785802
"path:hsa05134","Legionellosis",57,0,1,1
"path:hsa05416","Viral myocarditis",57,4,0.114324251275203,0.245378880785802
"path:hsa00310","Lysine degradation",58,4,0.11982292621106,0.2495720119899
"path:hsa04330","Notch signaling pathway",58,3,0.292460788430151,0.51993029054249
"path:hsa04730","Long-term depression",58,4,0.11982292621106,0.2495720119899
"path:hsa05213","Endometrial cancer",58,7,0.0026723697536146,0.0122165474450953
"path:hsa04370","VEGF signaling pathway",59,7,0.00294872026334458,0.0133070452909909
"path:hsa04978","Mineral absorption",60,2,0.585902924314203,0.84871534715473
"path:hsa00140","Steroid hormone biosynthesis",62,2,0.60382667781569,0.861266625712479
"path:hsa04213","Longevity regulating pathway - multiple species",62,6,0.0152839650093767,0.0502799596570149
"path:hsa03250","Viral life cycle - HIV-1",63,1,0.876074897297157,1
"path:hsa05217","Basal cell carcinoma",63,1,0.876074897297157,1
"path:hsa05321","Inflammatory bowel disease",63,2,0.612565972228982,0.869448476712104
"path:hsa04623","Cytosolic DNA-sensing pathway",64,3,0.34624006498889,0.588775376212991
"path:hsa04929","GnRH secretion",64,9,0.000216358633236952,0.00173086906589562
"path:hsa04927","Cortisol synthesis and secretion",65,3,0.355190296466598,0.59821523615427
"path:hsa00010","Glycolysis / Gluconeogenesis",66,0,1,1
"path:hsa04520","Adherens junction",66,6,0.0202780505771841,0.0648897618469892
"path:hsa05211","Renal cell carcinoma",66,9,0.000274478674932551,0.00214703319058351
"path:hsa04664","Fc epsilon RI signaling pathway",67,9,0.00030805774011659,0.00230715584087319
"path:hsa04720","Long-term potentiation",67,9,0.00030805774011659,0.00230715584087319
"path:hsa04924","Renin secretion",67,8,0.00145162231559278,0.00729958650126655
"path:hsa05204","Chemical carcinogenesis - DNA adducts",67,1,0.891485625811165,1
"path:hsa05221","Acute myeloid leukemia",67,10,5.80802548576324e-05,0.000719138735543865
"path:hsa00830","Retinol metabolism",68,0,1,1
"path:hsa00982","Drug metabolism - cytochrome P450",68,0,1,1
"path:hsa04920","Adipocytokine signaling pathway",68,5,0.0704040823444211,0.179581427429248
"path:hsa04612","Antigen processing and presentation",69,3,0.390788597944203,0.642307317035741
"path:hsa05031","Amphetamine addiction",69,6,0.0246794490480904,0.076203211095858
"path:hsa05100","Bacterial invasion of epithelial cells",69,9,0.000385437394454015,0.00282654089266278
"path:hsa04137","Mitophagy - animal",70,5,0.077645451883725,0.187199993582679
"path:hsa04622","RIG-I-like receptor signaling pathway",70,3,0.399617336451214,0.642307317035741
"path:hsa04917","Prolactin signaling pathway",70,11,1.51194650818414e-05,0.000295669539378232
"path:hsa05120","Epithelial cell signaling in Helicobacter pylori infection",70,3,0.399617336451214,0.642307317035741
"path:hsa05230","Central carbon metabolism in cancer",70,5,0.077645451883725,0.187199993582679
"path:hsa01524","Platinum drug resistance",72,5,0.0852715604372558,0.197470982065224
"path:hsa04115","p53 signaling pathway",72,2,0.684623523502234,0.93995951062859
"path:hsa05218","Melanoma",72,7,0.0088741067444311,0.0322029440622654
"path:hsa05223","Non-small cell lung cancer",72,11,1.99095027320233e-05,0.000350407248083611
"path:hsa00562","Inositol phosphate metabolism",73,5,0.089226889619358,0.205280164353033
"path:hsa05140","Leishmaniasis",73,4,0.213911211800341,0.400514609328298
"path:hsa00980","Metabolism of xenobiotics by cytochrome P450",74,1,0.913992974538665,1
"path:hsa01230","Biosynthesis of amino acids",74,3,0.434539484738094,0.685909859317529
"path:hsa03320","PPAR signaling pathway",74,3,0.434539484738094,0.685909859317529
"path:hsa03008","Ribosome biogenesis in eukaryotes",75,1,0.916802709423303,1
"path:hsa03018","RNA degradation",75,3,0.443155460721818,0.693292098551467
"path:hsa04918","Thyroid hormone synthesis",75,3,0.443155460721818,0.693292098551467
"path:hsa05214","Glioma",75,11,2.95398255374649e-05,0.000452087764747289
"path:hsa04971","Gastric acid secretion",76,5,0.101650299670979,0.229364778744774
"path:hsa05133","Pertussis",76,9,0.000792186509255813,0.00480775260789735
"path:hsa05212","Pancreatic cancer",76,12,5.91803553093114e-06,0.000204774069882162
"path:hsa05220","Chronic myeloid leukemia",76,13,9.50415342529026e-07,6.50006374291955e-05
"path:hsa05412","Arrhythmogenic right ventricular cardiomyopathy",77,5,0.105973528542724,0.231693677310801
"path:hsa01521","EGFR tyrosine kinase inhibitor resistance",78,13,1.29262631251241e-06,6.50006374291955e-05
"path:hsa04721","Synaptic vesicle cycle",78,2,0.726291534410146,0.987083475337341
"path:hsa00983","Drug metabolism - other enzymes",79,1,0.927154436922278,1
"path:hsa01232","Nucleotide metabolism",80,2,0.739107302724694,0.992999124271344
"path:hsa04662","B cell receptor signaling pathway",81,11,6.12902331429431e-05,0.000719138735543865
"path:hsa04146","Peroxisome",82,3,0.501869621071378,0.754949173577458
"path:hsa04260","Cardiac muscle contraction",82,2,0.751407184684077,1
"path:hsa04012","ErbB signaling pathway",84,14,5.07162695318291e-07,5.22972886184319e-05
"path:hsa04540","Gap junction",86,6,0.0614954088315811,0.161540178423258
"path:hsa04610","Complement and coagulation cascades",86,8,0.00690638529671274,0.0265888673697551
"path:hsa04742","Taste transduction",86,1,0.942271519939626,1
"path:hsa04911","Insulin secretion",86,3,0.533964950858819,0.786425366955248
"path:hsa05210","Colorectal cancer",86,11,0.000106782856491782,0.00100483479767033
"path:hsa00564","Glycerophospholipid metabolism",88,4,0.321853266524092,0.563643531425275
"path:hsa04512","ECM-receptor interaction",88,2,0.785347427510377,1
"path:hsa04970","Salivary secretion",88,4,0.321853266524092,0.563643531425275
"path:hsa04211","Longevity regulating pathway",89,9,0.00243496933908133,0.0112777527283767
"path:hsa04727","GABAergic synapse",89,6,0.0702107115093628,0.179581427429248
"path:hsa04976","Bile secretion",89,3,0.557252599583884,0.813912510595549
"path:hsa05032","Morphine addiction",89,5,0.164367761100379,0.325041864647941
"path:hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer",89,10,0.000627828244993955,0.00409251004144208
"path:hsa04658","Th1 and Th2 cell differentiation",90,6,0.0732661298861721,0.182573685684827
"path:hsa05150","Staphylococcus aureus infection",90,10,0.000686120295590272,0.00439116989177774
"path:hsa05323","Rheumatoid arthritis",90,6,0.0732661298861721,0.182573685684827
"path:hsa05410","Hypertrophic cardiomyopathy",90,4,0.336684705808949,0.580946159042893
"path:hsa04640","Hematopoietic cell lineage",92,7,0.0304584154584865,0.0878800183720267
"path:hsa05222","Small cell lung cancer",92,6,0.0796014281124355,0.190610222418893
"path:hsa04666","Fc gamma R-mediated phagocytosis",93,13,9.72945991160124e-06,0.000244626420634546
"path:hsa04912","GnRH signaling pathway",93,12,4.80355075675787e-05,0.000626240691251397
"path:hsa03015","mRNA surveillance pathway",94,2,0.815145818120054,1
"path:hsa04070","Phosphatidylinositol signaling system",94,10,0.000965723016079831,0.00557269674852624
"path:hsa04350","TGF-beta signaling pathway",94,3,0.594468516130798,0.857593924910004
"path:hsa04657","IL-17 signaling pathway",94,5,0.191815073321751,0.363004869942239
"path:hsa01522","Endocrine resistance",95,10,0.00104853938236159,0.00585850575541714
"path:hsa04713","Circadian entrainment",95,7,0.0354009340436748,0.0996890302669882
"path:hsa04914","Progesterone-mediated oocyte maturation",95,9,0.0037924857930785,0.0162799390141906
"path:hsa05231","Choline metabolism in cancer",95,13,1.23248556188974e-05,0.00028922327852346
"path:hsa05414","Dilated cardiomyopathy",95,4,0.373826849787634,0.623635313389798
"path:hsa05215","Prostate cancer",97,12,7.30353805472831e-05,0.000803389186020114
"path:hsa04750","Inflammatory mediator regulation of TRP channels",98,13,1.735810335049e-05,0.0003215817041775
"path:hsa04925","Aldosterone synthesis and secretion",98,8,0.0146357933333609,0.0490647547937432
"path:hsa04061","Viral protein interaction with cytokine and cytokine receptor",99,5,0.220741744635883,0.407045638675285
"path:hsa04933","AGE-RAGE signaling pathway in diabetic complications",99,9,0.00498536207251653,0.020643919881681
"path:hsa04972","Pancreatic secretion",99,3,0.629591681250792,0.889695356355281
"path:hsa05146","Amoebiasis",100,6,0.10788201839687,0.234410311578384
"path:hsa04916","Melanogenesis",101,5,0.23266832284874,0.422161080632766
"path:hsa04660","T cell receptor signaling pathway",102,13,2.68228094124647e-05,0.000429164950599435
"path:hsa04974","Protein digestion and absorption",102,7,0.0489157589929223,0.133475559422548
"path:hsa05142","Chagas disease",102,10,0.00180534063660228,0.00895042118428174
"path:hsa04064","NF-kappa B signaling pathway",103,10,0.00194256247906912,0.00949697211989348
"path:hsa04922","Glucagon signaling pathway",103,6,0.119660604269593,0.2495720119899
"path:hsa03013","Nucleocytoplasmic transport",104,3,0.662556807623856,0.921818167128843
"path:hsa04620","Toll-like receptor signaling pathway",104,10,0.00208807648848437,0.0100685332047465
"path:hsa04625","C-type lectin receptor signaling pathway",104,14,6.98093420052825e-06,0.000204774069882162
"path:hsa00190","Oxidative phosphorylation",105,2,0.860305261719215,1
"path:hsa04931","Insulin resistance",105,11,0.000623508169836574,0.00409251004144208
"path:hsa04659","Th17 cell differentiation",106,12,0.000172891124659272,0.00141529478790846
"path:hsa04928","Parathyroid hormone synthesis, secretion and action",106,9,0.0077511186253623,0.0290254654907184
"path:hsa05034","Alcoholism",106,8,0.0224451939279995,0.070542038059427
"path:hsa04066","HIF-1 signaling pathway",107,9,0.00822620094367831,0.0304802392860502
"path:hsa04613","Neutrophil extracellular trap formation",107,13,4.47757986463486e-05,0.000606195427827489
"path:hsa05145","Toxoplasmosis",110,9,0.00978477665020801,0.0347903169785174
"path:hsa04668","TNF signaling pathway",111,9,0.0103507880161403,0.0360740334819939
"path:hsa04670","Leukocyte transendothelial migration",111,8,0.0286033507829613,0.0850421640708747
"path:hsa04724","Glutamatergic synapse",112,10,0.00359539776890329,0.0158197501831745
"path:hsa04726","Serotonergic synapse",112,8,0.0299619881636614,0.0871621473851969
"path:hsa04725","Cholinergic synapse",113,11,0.00115213715349453,0.00608383512878108
"path:hsa01200","Carbon metabolism",114,3,0.721961540790169,0.985001792085812
"path:hsa04071","Sphingolipid signaling pathway",118,12,0.000470780823282485,0.00331429699590869
"path:hsa04722","Neurotrophin signaling pathway",118,15,6.78453284623832e-06,0.000204774069882162
"path:hsa04152","AMPK signaling pathway",119,8,0.040725635412777,0.113773203692837
"path:hsa04935","Growth hormone synthesis, secretion and action",120,12,0.00054854596734316,0.00378604275499593
"path:hsa00230","Purine metabolism",121,2,0.908163026379077,1
"path:hsa04919","Thyroid hormone signaling pathway",121,13,0.000160129009221074,0.00137476612794678
"path:hsa04611","Platelet activation",122,11,0.00214025867498607,0.0101806899134473
"path:hsa04114","Oocyte meiosis",123,10,0.00694936306254962,0.0265888673697551
"path:hsa04650","Natural killer cell mediated cytotoxicity",124,11,0.00243369766277409,0.0112777527283767
"path:hsa04110","Cell cycle",127,5,0.397825628656525,0.642307317035741
"path:hsa04380","Osteoclast differentiation",127,14,6.84381462437258e-05,0.000777104112186822
"path:hsa04926","Relaxin signaling pathway",128,10,0.00910691252836088,0.0327105429590105
"path:hsa04068","FoxO signaling pathway",129,14,8.12119683941502e-05,0.000866260996204269
"path:hsa03040","Spliceosome",131,2,0.929771672813406,1
"path:hsa04270","Vascular smooth muscle contraction",131,12,0.00119536525547481,0.00618777308716372
"path:hsa04728","Dopaminergic synapse",131,11,0.00372673006563991,0.016195172630929
"path:hsa03010","Ribosome",132,0,1,1
"path:hsa04142","Lysosome",132,11,0.00394943834774045,0.0167494252819836
"path:hsa04217","Necroptosis",132,2,0.931646329328145,1
"path:hsa04210","Apoptosis",133,12,0.00136306493767341,0.00695360663856579
"path:hsa05135","Yersinia infection",134,18,3.63739251966431e-07,5.22972886184319e-05
"path:hsa04910","Insulin signaling pathway",136,16,9.26542456383424e-06,0.000244626420634546
"path:hsa04915","Estrogen signaling pathway",137,14,0.000155325179518668,0.00137476612794678
"path:hsa04120","Ubiquitin mediated proteolysis",138,5,0.468252864873049,0.719759862162939
"path:hsa04371","Apelin signaling pathway",138,11,0.00551813818319278,0.0218245465222905
"path:hsa05162","Measles",138,8,0.0818523441096348,0.194675845449942
"path:hsa05418","Fluid shear stress and atherosclerosis",138,10,0.0149188804840572,0.0495419427395109
"path:hsa04140","Autophagy - animal",139,13,0.00062385496905067,0.00409251004144208
"path:hsa05017","Spinocerebellar ataxia",139,7,0.168288889655166,0.330936810942003
"path:hsa04723","Retrograde endocannabinoid signaling",141,8,0.0900027281953835,0.205720521589448
"path:hsa04550","Signaling pathways regulating pluripotency of stem cells",142,7,0.181225278368176,0.350501637283506
"path:hsa04936","Alcoholic liver disease",142,13,0.00076327043004813,0.00479769984601681
"path:hsa04072","Phospholipase D signaling pathway",144,22,1.62193539685703e-09,5.70921259693675e-07
"path:hsa04145","Phagosome",147,2,0.954654425873325,1
"path:hsa05224","Breast cancer",147,11,0.00874875614413504,0.0320787725284952
"path:hsa01240","Biosynthesis of cofactors",148,2,0.955890723568732,1
"path:hsa05226","Gastric cancer",148,12,0.00334322155624752,0.014896379592394
"path:hsa04514","Cell adhesion molecules",149,9,0.0550090622589756,0.147810610039385
"path:hsa04932","Non-alcoholic fatty liver disease",150,8,0.117146240024974,0.249409829007002
"path:hsa04261","Adrenergic signaling in cardiomyocytes",152,9,0.0608635397715577,0.161082451124724
"path:hsa04921","Oxytocin signaling pathway",152,11,0.0110871982278007,0.0382617036880964
"path:hsa04390","Hippo signaling pathway",153,4,0.737883351648945,0.992999124271344
"path:hsa04150","mTOR signaling pathway",154,15,0.000156921584730369,0.00137476612794678
"path:hsa04218","Cellular senescence",154,16,4.40574264547563e-05,0.000606195427827489
"path:hsa04934","Cushing syndrome",155,6,0.392160831464674,0.642307317035741
"path:hsa05160","Hepatitis C",156,12,0.00510233247075637,0.020643919881681
"path:hsa04630","JAK-STAT signaling pathway",161,8,0.155563136129333,0.309368496709183
"path:hsa05161","Hepatitis B",161,14,0.000811317589332426,0.00484040324483075
"path:hsa04022","cGMP-PKG signaling pathway",163,11,0.0178878626914534,0.0577663088751523
"path:hsa05203","Viral carcinogenesis",165,14,0.00103107130288844,0.00585382417123761
"path:hsa04141","Protein processing in endoplasmic reticulum",166,2,0.973324812865941,1
"path:hsa04530","Tight junction",166,5,0.63188590650233,0.889695356355281
"path:hsa05225","Hepatocellular carcinoma",166,16,0.00010847648383941,0.00100483479767033
"path:hsa04310","Wnt signaling pathway",167,8,0.178751421162429,0.347627073199863
"path:hsa05164","Influenza A",167,11,0.0210044367113235,0.0666086641656385
"path:hsa05202","Transcriptional misregulation in cancer",172,13,0.0042255480716539,0.0177070585859782
"path:hsa05415","Diabetic cardiomyopathy",175,7,0.344040278053755,0.587874649878262
"path:hsa05152","Tuberculosis",176,11,0.0294501372444851,0.0863870692504898
"path:hsa04360","Axon guidance",181,15,0.000882634652019778,0.00517812329184936
"path:hsa04621","NOD-like receptor signaling pathway",181,12,0.0156425887229165,0.0509832521339502
"path:hsa04062","Chemokine signaling pathway",190,19,1.51160970617476e-05,0.000295669539378232
"path:hsa05167","Kaposi sarcoma-associated herpesvirus infection",194,20,5.73945069196801e-06,0.000204774069882162
"path:hsa05208","Chemical carcinogenesis - reactive oxygen species",195,13,0.0116747167006966,0.0398980609577206
"path:hsa05130","Pathogenic Escherichia coli infection",196,14,0.00504672663253094,0.020643919881681
"path:hsa04510","Focal adhesion",198,16,0.000792013015392355,0.00480775260789735
"path:hsa05169","Epstein-Barr virus infection",198,14,0.00551259572775864,0.0218245465222905
"path:hsa04714","Thermogenesis",202,11,0.0668972678604044,0.173670518246318
"path:hsa05205","Proteoglycans in cancer",204,16,0.00108814365154828,0.00598479008351552
"path:hsa05170","Human immunodeficiency virus 1 infection",206,17,0.000432733244349225,0.00310861432675362
"path:hsa04015","Rap1 signaling pathway",207,22,1.18855400247441e-06,6.50006374291955e-05
"path:hsa05207","Chemical carcinogenesis - receptor activation",210,19,6.06025935412142e-05,0.000719138735543865
"path:hsa05417","Lipid and atherosclerosis",215,20,2.62798417815459e-05,0.000429164950599435
"path:hsa05131","Shigellosis",219,19,0.000106225970881838,0.00100483479767033
"path:hsa05166","Human T-cell leukemia virus 1 infection",219,14,0.0127973170413507,0.0433139961399562
"path:hsa05163","Human cytomegalovirus infection",223,21,1.3814978009807e-05,0.000295669539378232
"path:hsa04024","cAMP signaling pathway",224,10,0.196102802394517,0.369134686860267
"path:hsa04810","Regulation of actin cytoskeleton",227,19,0.000169894008871331,0.00141529478790846
"path:hsa05171","Coronavirus disease - COVID-19",227,15,0.00765220849210251,0.0289631977335493
"path:hsa04014","Ras signaling pathway",231,24,5.94287370663999e-07,5.22972886184319e-05
"path:hsa05012","Parkinson disease",236,6,0.784020032934927,1
"path:hsa04020","Calcium signaling pathway",237,13,0.0471358606871011,0.129623616889528
"path:hsa04144","Endocytosis",241,21,4.40268366146684e-05,0.000606195427827489
"path:hsa05020","Prion disease",244,11,0.173894940304222,0.340061216594924
"path:hsa05132","Salmonella infection",247,11,0.183657257929087,0.353264233830811
"path:hsa05016","Huntington disease",278,6,0.892821012505098,1
"path:hsa05206","MicroRNAs in cancer",286,16,0.0256272948357903,0.0782418879066727
"path:hsa04060","Cytokine-cytokine receptor interaction",289,11,0.341506763453741,0.586392101149838
"path:hsa04010","MAPK signaling pathway",292,23,9.28535504758518e-05,0.000961307346102937
"path:hsa05165","Human papillomavirus infection",328,16,0.0714228318232987,0.180869329509361
"path:hsa05014","Amyotrophic lateral sclerosis",334,9,0.762989632625439,1
"path:hsa04151","PI3K-Akt signaling pathway",349,23,0.0011580027091714,0.00608383512878108
"path:hsa05010","Alzheimer disease",354,16,0.11761940799762,0.249409829007002
"path:hsa04080","Neuroactive ligand-receptor interaction",362,9,0.837002243720826,1
"path:hsa04740","Olfactory transduction",402,6,0.991191960000366,1
"path:hsa05022","Pathways of neurodegeneration - multiple diseases",444,17,0.280522135611661,0.501237521499008
