"","Term","Ont","N","DE","P.DE","FDR.DE"
"GO:0072749","cellular response to cytochalasin B","BP",1,0,1,1
"GO:1901328","response to cytochalasin B","BP",1,0,1,1
"GO:0086097","phospholipase C-activating angiotensin-activated signaling pathway","BP",1,0,1,1
"GO:0060957","endocardial cell fate commitment","BP",1,0,1,1
"GO:0061445","endocardial cushion cell fate commitment","BP",1,0,1,1
"GO:0046111","xanthine biosynthetic process","BP",1,0,1,1
"GO:0060169","negative regulation of adenosine receptor signaling pathway","BP",1,0,1,1
"GO:0060407","negative regulation of penile erection","BP",1,0,1,1
"GO:0072535","tumor necrosis factor (ligand) superfamily member 11 production","BP",1,0,1,1
"GO:0072680","extracellular matrix-dependent thymocyte migration","BP",1,0,1,1
"GO:0072681","fibronectin-dependent thymocyte migration","BP",1,0,1,1
"GO:2000307","regulation of tumor necrosis factor (ligand) superfamily member 11 production","BP",1,0,1,1
"GO:2000309","positive regulation of tumor necrosis factor (ligand) superfamily member 11 production","BP",1,0,1,1
"GO:2000413","regulation of fibronectin-dependent thymocyte migration","BP",1,0,1,1
"GO:2000415","positive regulation of fibronectin-dependent thymocyte migration","BP",1,0,1,1
"GO:0051089","constitutive protein ectodomain proteolysis","BP",1,0,1,1
"GO:0021566","hypoglossal nerve development","BP",1,0,1,1
"GO:0021618","hypoglossal nerve morphogenesis","BP",1,0,1,1
"GO:0021965","spinal cord ventral commissure morphogenesis","BP",1,0,1,1
"GO:0006175","dATP biosynthetic process","BP",1,0,1,1
"GO:0097647","amylin receptor signaling pathway","BP",1,0,1,1
"GO:2000184","positive regulation of progesterone biosynthetic process","BP",1,0,1,1
"GO:0014050","negative regulation of glutamate secretion","BP",1,0,1,1
"GO:0032244","positive regulation of nucleoside transport","BP",1,0,1,1
"GO:0032900","negative regulation of neurotrophin production","BP",1,0,1,1
"GO:0042323","negative regulation of circadian sleep/wake cycle, non-REM sleep","BP",1,0,1,1
"GO:0014055","acetylcholine secretion, neurotransmission","BP",1,0,1,1
"GO:0014056","regulation of acetylcholine secretion, neurotransmission","BP",1,0,1,1
"GO:0014057","positive regulation of acetylcholine secretion, neurotransmission","BP",1,0,1,1
"GO:0002545","chronic inflammatory response to non-antigenic stimulus","BP",1,0,1,1
"GO:0002880","regulation of chronic inflammatory response to non-antigenic stimulus","BP",1,0,1,1
"GO:0002882","positive regulation of chronic inflammatory response to non-antigenic stimulus","BP",1,0,1,1
"GO:0018424","peptidyl-glutamic acid poly-ADP-ribosylation","BP",1,0,1,1
"GO:1904762","positive regulation of myofibroblast differentiation","BP",1,0,1,1
"GO:0070473","negative regulation of uterine smooth muscle contraction","BP",1,0,1,1
"GO:0071882","phospholipase C-activating adrenergic receptor signaling pathway","BP",1,0,1,1
"GO:0001997","positive regulation of the force of heart contraction by epinephrine-norepinephrine","BP",1,0,1,1
"GO:0003099","positive regulation of the force of heart contraction by chemical signal","BP",1,0,1,1
"GO:0061884","regulation of mini excitatory postsynaptic potential","BP",1,0,1,1
"GO:0061885","positive regulation of mini excitatory postsynaptic potential","BP",1,0,1,1
"GO:0098816","mini excitatory postsynaptic potential","BP",1,0,1,1
"GO:0003108","negative regulation of the force of heart contraction by chemical signal","BP",1,0,1,1
"GO:1901081","negative regulation of relaxation of smooth muscle","BP",1,0,1,1
"GO:1904470","regulation of endothelin production","BP",1,0,1,1
"GO:1904472","positive regulation of endothelin production","BP",1,0,1,1
"GO:1990775","endothelin production","BP",1,0,1,1
"GO:0061444","endocardial cushion cell development","BP",1,0,1,1
"GO:0002018","renin-angiotensin regulation of aldosterone production","BP",1,0,1,1
"GO:0003051","angiotensin-mediated drinking behavior","BP",1,0,1,1
"GO:0007199","G protein-coupled receptor signaling pathway coupled to cGMP nucleotide second messenger","BP",1,0,1,1
"GO:0014873","response to muscle activity involved in regulation of muscle adaptation","BP",1,0,1,1
"GO:0035106","operant conditioning","BP",1,0,1,1
"GO:0097639","L-lysine import across plasma membrane","BP",1,0,1,1
"GO:1905008","regulation of L-lysine import across plasma membrane","BP",1,0,1,1
"GO:1905010","positive regulation of L-lysine import across plasma membrane","BP",1,0,1,1
"GO:1905541","regulation of L-arginine import across plasma membrane","BP",1,0,1,1
"GO:1905589","positive regulation of L-arginine import across plasma membrane","BP",1,0,1,1
"GO:0019265","glycine biosynthetic process, by transamination of glyoxylate","BP",1,0,1,1
"GO:0100002","negative regulation of protein kinase activity by protein phosphorylation","BP",1,0,1,1
"GO:0097473","retinal rod cell apoptotic process","BP",1,0,1,1
"GO:1990009","retinal cell apoptotic process","BP",1,0,1,1
"GO:0036113","very long-chain fatty-acyl-CoA catabolic process","BP",1,0,1,1
"GO:1905627","regulation of serotonin biosynthetic process","BP",1,0,1,1
"GO:0021768","nucleus accumbens development","BP",1,0,1,1
"GO:0060166","olfactory pit development","BP",1,0,1,1
"GO:0046458","hexadecanal metabolic process","BP",1,0,1,1
"GO:2001303","lipoxin A4 biosynthetic process","BP",1,0,1,1
"GO:2001304","lipoxin B4 metabolic process","BP",1,0,1,1
"GO:2001306","lipoxin B4 biosynthetic process","BP",1,0,1,1
"GO:1901753","leukotriene A4 biosynthetic process","BP",1,0,1,1
"GO:0006557","S-adenosylmethioninamine biosynthetic process","BP",1,0,1,1
"GO:0106135","negative regulation of cardiac muscle cell contraction","BP",1,0,1,1
"GO:1903946","negative regulation of ventricular cardiac muscle cell action potential","BP",1,0,1,1
"GO:0032431","activation of phospholipase A2 activity","BP",1,0,1,1
"GO:0050928","negative regulation of positive chemotaxis","BP",1,0,1,1
"GO:0010650","positive regulation of cell communication by electrical coupling","BP",1,0,1,1
"GO:1900827","positive regulation of membrane depolarization during cardiac muscle cell action potential","BP",1,0,1,1
"GO:1905595","regulation of low-density lipoprotein particle receptor binding","BP",1,0,1,1
"GO:1905597","positive regulation of low-density lipoprotein particle receptor binding","BP",1,0,1,1
"GO:0008653","lipopolysaccharide metabolic process","BP",1,0,1,1
"GO:0009104","lipopolysaccharide catabolic process","BP",1,0,1,1
"GO:0072414","response to mitotic cell cycle checkpoint signaling","BP",1,0,1,1
"GO:0072432","response to G1 DNA damage checkpoint signaling","BP",1,0,1,1
"GO:0097698","telomere maintenance via base-excision repair","BP",1,0,1,1
"GO:1902442","regulation of ripoptosome assembly involved in necroptotic process","BP",1,0,1,1
"GO:1902443","negative regulation of ripoptosome assembly involved in necroptotic process","BP",1,0,1,1
"GO:0060621","negative regulation of cholesterol import","BP",1,0,1,1
"GO:0060695","negative regulation of cholesterol transporter activity","BP",1,0,1,1
"GO:0110114","negative regulation of lipid transporter activity","BP",1,0,1,1
"GO:0010900","negative regulation of phosphatidylcholine catabolic process","BP",1,0,1,1
"GO:0010902","positive regulation of very-low-density lipoprotein particle remodeling","BP",1,0,1,1
"GO:0071831","intermediate-density lipoprotein particle clearance","BP",1,0,1,1
"GO:0090731","cellular response to very-low-density lipoprotein particle stimulus","BP",1,0,1,1
"GO:0150200","regulation of transport across blood-brain barrier","BP",1,0,1,1
"GO:0150201","positive regulation of transport across blood-brain barrier","BP",1,0,1,1
"GO:1903000","regulation of lipid transport across blood-brain barrier","BP",1,0,1,1
"GO:1903002","positive regulation of lipid transport across blood-brain barrier","BP",1,0,1,1
"GO:1905853","regulation of heparan sulfate binding","BP",1,0,1,1
"GO:1905855","positive regulation of heparan sulfate binding","BP",1,0,1,1
"GO:1905858","regulation of heparan sulfate proteoglycan binding","BP",1,0,1,1
"GO:1905860","positive regulation of heparan sulfate proteoglycan binding","BP",1,0,1,1
"GO:1905890","regulation of cellular response to very-low-density lipoprotein particle stimulus","BP",1,0,1,1
"GO:0006168","adenine salvage","BP",1,0,1,1
"GO:0030185","nitric oxide transport","BP",1,0,1,1
"GO:0035377","transepithelial water transport","BP",1,0,1,1
"GO:0035378","carbon dioxide transmembrane transport","BP",1,0,1,1
"GO:0046878","positive regulation of saliva secretion","BP",1,0,1,1
"GO:0019102","male somatic sex determination","BP",1,0,1,1
"GO:0045720","negative regulation of integrin biosynthetic process","BP",1,0,1,1
"GO:0060514","prostate induction","BP",1,0,1,1
"GO:0060515","prostate field specification","BP",1,0,1,1
"GO:0060520","activation of prostate induction by androgen receptor signaling pathway","BP",1,0,1,1
"GO:0060599","lateral sprouting involved in mammary gland duct morphogenesis","BP",1,0,1,1
"GO:1990386","mitotic cleavage furrow ingression","BP",1,0,1,1
"GO:0019547","arginine catabolic process to ornithine","BP",1,0,1,1
"GO:0071606","chemokine (C-C motif) ligand 4 production","BP",1,0,1,1
"GO:0071643","regulation of chemokine (C-C motif) ligand 4 production","BP",1,0,1,1
"GO:0071644","negative regulation of chemokine (C-C motif) ligand 4 production","BP",1,0,1,1
"GO:0001998","angiotensin-mediated vasoconstriction involved in regulation of systemic arterial blood pressure","BP",1,0,1,1
"GO:1903673","mitotic cleavage furrow formation","BP",1,0,1,1
"GO:1904695","positive regulation of vascular associated smooth muscle contraction","BP",1,0,1,1
"GO:2001136","negative regulation of endocytic recycling","BP",1,0,1,1
"GO:0042699","follicle-stimulating hormone signaling pathway","BP",1,0,1,1
"GO:0061580","colon epithelial cell migration","BP",1,0,1,1
"GO:0018120","peptidyl-arginine ADP-ribosylation","BP",1,0,1,1
"GO:0042450","arginine biosynthetic process via ornithine","BP",1,0,1,1
"GO:0015700","arsenite transport","BP",1,0,1,1
"GO:0070981","L-asparagine biosynthetic process","BP",1,0,1,1
"GO:0000053","argininosuccinate metabolic process","BP",1,0,1,1
"GO:2000257","regulation of protein activation cascade","BP",1,0,1,1
"GO:2000266","regulation of blood coagulation, intrinsic pathway","BP",1,0,1,1
"GO:0061395","positive regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance","BP",1,0,1,1
"GO:1905843","regulation of cellular response to gamma radiation","BP",1,0,1,1
"GO:2001228","regulation of response to gamma radiation","BP",1,0,1,1
"GO:0021989","olfactory cortex development","BP",1,0,1,1
"GO:1903280","negative regulation of calcium:sodium antiporter activity","BP",1,0,1,1
"GO:0044861","protein transport into plasma membrane raft","BP",1,0,1,1
"GO:0014724","regulation of twitch skeletal muscle contraction","BP",1,0,1,1
"GO:0031446","regulation of fast-twitch skeletal muscle fiber contraction","BP",1,0,1,1
"GO:0031448","positive regulation of fast-twitch skeletal muscle fiber contraction","BP",1,0,1,1
"GO:0106134","positive regulation of cardiac muscle cell contraction","BP",1,0,1,1
"GO:1902080","regulation of calcium ion import into sarcoplasmic reticulum","BP",1,0,1,1
"GO:1902082","positive regulation of calcium ion import into sarcoplasmic reticulum","BP",1,0,1,1
"GO:0033241","regulation of cellular amine catabolic process","BP",1,0,1,1
"GO:0033242","negative regulation of cellular amine catabolic process","BP",1,0,1,1
"GO:0098736","negative regulation of the force of heart contraction","BP",1,0,1,1
"GO:1900081","regulation of arginine catabolic process","BP",1,0,1,1
"GO:1900082","negative regulation of arginine catabolic process","BP",1,0,1,1
"GO:1901660","calcium ion export","BP",1,0,1,1
"GO:1903248","regulation of citrulline biosynthetic process","BP",1,0,1,1
"GO:1903249","negative regulation of citrulline biosynthetic process","BP",1,0,1,1
"GO:2000283","negative regulation of cellular amino acid biosynthetic process","BP",1,0,1,1
"GO:0045851","pH reduction","BP",1,0,1,1
"GO:0042414","epinephrine metabolic process","BP",1,0,1,1
"GO:0035120","post-embryonic appendage morphogenesis","BP",1,0,1,1
"GO:0035127","post-embryonic limb morphogenesis","BP",1,0,1,1
"GO:0035128","post-embryonic forelimb morphogenesis","BP",1,0,1,1
"GO:0097393","telomeric repeat-containing RNA transcription","BP",1,0,1,1
"GO:0097394","telomeric repeat-containing RNA transcription by RNA polymerase II","BP",1,0,1,1
"GO:1901580","regulation of telomeric RNA transcription from RNA pol II promoter","BP",1,0,1,1
"GO:1901581","negative regulation of telomeric RNA transcription from RNA pol II promoter","BP",1,0,1,1
"GO:1901582","positive regulation of telomeric RNA transcription from RNA pol II promoter","BP",1,0,1,1
"GO:0002481","antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-dependent","BP",1,0,1,1
"GO:0071283","cellular response to iron(III) ion","BP",1,0,1,1
"GO:0002152","bile acid conjugation","BP",1,0,1,1
"GO:0046687","response to chromate","BP",1,0,1,1
"GO:0071247","cellular response to chromate","BP",1,0,1,1
"GO:1901423","response to benzene","BP",1,0,1,1
"GO:1902220","positive regulation of intrinsic apoptotic signaling pathway in response to osmotic stress","BP",1,0,1,1
"GO:1904710","positive regulation of granulosa cell apoptotic process","BP",1,0,1,1
"GO:0001777","T cell homeostatic proliferation","BP",1,0,1,1
"GO:0002358","B cell homeostatic proliferation","BP",1,0,1,1
"GO:0032976","release of matrix enzymes from mitochondria","BP",1,0,1,1
"GO:1990117","B cell receptor apoptotic signaling pathway","BP",1,0,1,1
"GO:0032848","negative regulation of cellular pH reduction","BP",1,0,1,1
"GO:0046671","negative regulation of retinal cell programmed cell death","BP",1,0,1,1
"GO:0019050","suppression by virus of host apoptotic process","BP",1,0,1,1
"GO:0033668","negative regulation by symbiont of host apoptotic process","BP",1,0,1,1
"GO:0039526","modulation by virus of host apoptotic process","BP",1,0,1,1
"GO:0052041","negative regulation by symbiont of host programmed cell death","BP",1,0,1,1
"GO:0052150","modulation by symbiont of host apoptotic process","BP",1,0,1,1
"GO:1902576","negative regulation of nuclear cell cycle DNA replication","BP",1,1,0.0074715891253847,0.439561528082237
"GO:1903464","negative regulation of mitotic cell cycle DNA replication","BP",1,1,0.0074715891253847,0.439561528082237
"GO:1900276","regulation of proteinase activated receptor activity","BP",1,0,1,1
"GO:1900737","negative regulation of phospholipase C-activating G protein-coupled receptor signaling pathway","BP",1,0,1,1
"GO:0033082","regulation of extrathymic T cell differentiation","BP",1,0,1,1
"GO:0051042","negative regulation of calcium-independent cell-cell adhesion","BP",1,0,1,1
"GO:0060804","positive regulation of Wnt signaling pathway by BMP signaling pathway","BP",1,0,1,1
"GO:0048389","intermediate mesoderm development","BP",1,0,1,1
"GO:0048390","intermediate mesoderm morphogenesis","BP",1,0,1,1
"GO:0048391","intermediate mesoderm formation","BP",1,0,1,1
"GO:0048392","intermediate mesodermal cell differentiation","BP",1,0,1,1
"GO:0055018","regulation of cardiac muscle fiber development","BP",1,0,1,1
"GO:0055020","positive regulation of cardiac muscle fiber development","BP",1,0,1,1
"GO:0060503","bud dilation involved in lung branching","BP",1,0,1,1
"GO:0060686","negative regulation of prostatic bud formation","BP",1,0,1,1
"GO:0061149","BMP signaling pathway involved in ureter morphogenesis","BP",1,0,1,1
"GO:0061150","renal system segmentation","BP",1,0,1,1
"GO:0061151","BMP signaling pathway involved in renal system segmentation","BP",1,0,1,1
"GO:0061155","pulmonary artery endothelial tube morphogenesis","BP",1,0,1,1
"GO:0061227","pattern specification involved in mesonephros development","BP",1,0,1,1
"GO:0071893","BMP signaling pathway involved in nephric duct formation","BP",1,0,1,1
"GO:0072096","negative regulation of branch elongation involved in ureteric bud branching","BP",1,0,1,1
"GO:0072097","negative regulation of branch elongation involved in ureteric bud branching by BMP signaling pathway","BP",1,0,1,1
"GO:0072098","anterior/posterior pattern specification involved in kidney development","BP",1,0,1,1
"GO:0072099","anterior/posterior pattern specification involved in ureteric bud development","BP",1,0,1,1
"GO:0072100","specification of ureteric bud anterior/posterior symmetry","BP",1,0,1,1
"GO:0072101","specification of ureteric bud anterior/posterior symmetry by BMP signaling pathway","BP",1,0,1,1
"GO:0072190","ureter urothelium development","BP",1,0,1,1
"GO:0072192","ureter epithelial cell differentiation","BP",1,0,1,1
"GO:0072200","negative regulation of mesenchymal cell proliferation involved in ureter development","BP",1,0,1,1
"GO:0090191","negative regulation of branching involved in ureteric bud morphogenesis","BP",1,0,1,1
"GO:0090194","negative regulation of glomerulus development","BP",1,0,1,1
"GO:1901964","positive regulation of cell proliferation involved in outflow tract morphogenesis","BP",1,0,1,1
"GO:2000004","regulation of metanephric S-shaped body morphogenesis","BP",1,0,1,1
"GO:2000005","negative regulation of metanephric S-shaped body morphogenesis","BP",1,0,1,1
"GO:2000006","regulation of metanephric comma-shaped body morphogenesis","BP",1,0,1,1
"GO:2000007","negative regulation of metanephric comma-shaped body morphogenesis","BP",1,0,1,1
"GO:0021998","neural plate mediolateral regionalization","BP",1,0,1,1
"GO:0048338","mesoderm structural organization","BP",1,0,1,1
"GO:0048352","paraxial mesoderm structural organization","BP",1,0,1,1
"GO:0048372","lateral mesodermal cell fate commitment","BP",1,0,1,1
"GO:0048377","lateral mesodermal cell fate specification","BP",1,0,1,1
"GO:0048378","regulation of lateral mesodermal cell fate specification","BP",1,0,1,1
"GO:1904412","regulation of cardiac ventricle development","BP",1,0,1,1
"GO:1904414","positive regulation of cardiac ventricle development","BP",1,0,1,1
"GO:1905285","fibrous ring of heart morphogenesis","BP",1,0,1,1
"GO:0002074","extraocular skeletal muscle development","BP",1,0,1,1
"GO:0019101","female somatic sex determination","BP",1,0,1,1
"GO:0060014","granulosa cell differentiation","BP",1,0,1,1
"GO:0070510","regulation of histone H4-K20 methylation","BP",1,0,1,1
"GO:0070512","positive regulation of histone H4-K20 methylation","BP",1,0,1,1
"GO:0005991","trehalose metabolic process","BP",1,0,1,1
"GO:0070413","trehalose metabolism in response to stress","BP",1,0,1,1
"GO:0051037","regulation of transcription involved in meiotic cell cycle","BP",1,0,1,1
"GO:0051039","positive regulation of transcription involved in meiotic cell cycle","BP",1,0,1,1
"GO:0003342","proepicardium development","BP",1,0,1,1
"GO:0003343","septum transversum development","BP",1,0,1,1
"GO:0097403","cellular response to raffinose","BP",1,0,1,1
"GO:1901545","response to raffinose","BP",1,0,1,1
"GO:0002736","regulation of plasmacytoid dendritic cell cytokine production","BP",1,0,1,1
"GO:0002737","negative regulation of plasmacytoid dendritic cell cytokine production","BP",1,0,1,1
"GO:1901253","negative regulation of intracellular transport of viral material","BP",1,0,1,1
"GO:0061586","positive regulation of transcription by transcription factor localization","BP",1,0,1,1
"GO:0099156","cell-cell signaling via exosome","BP",1,0,1,1
"GO:1905551","negative regulation of protein localization to endoplasmic reticulum","BP",1,0,1,1
"GO:0001802","type III hypersensitivity","BP",1,0,1,1
"GO:0001803","regulation of type III hypersensitivity","BP",1,0,1,1
"GO:0001805","positive regulation of type III hypersensitivity","BP",1,0,1,1
"GO:0001812","positive regulation of type I hypersensitivity","BP",1,0,1,1
"GO:0002368","B cell cytokine production","BP",1,0,1,1
"GO:0002721","regulation of B cell cytokine production","BP",1,0,1,1
"GO:0072027","connecting tubule development","BP",1,0,1,1
"GO:0072286","metanephric connecting tubule development","BP",1,0,1,1
"GO:1990092","calcium-dependent self proteolysis","BP",1,0,1,1
"GO:0061713","anterior neural tube closure","BP",1,0,1,1
"GO:0061691","detoxification of hydrogen peroxide","BP",1,0,1,1
"GO:0061692","cellular detoxification of hydrogen peroxide","BP",1,0,1,1
"GO:1900085","negative regulation of peptidyl-tyrosine autophosphorylation","BP",1,0,1,1
"GO:1903609","negative regulation of inward rectifier potassium channel activity","BP",1,0,1,1
"GO:0006535","cysteine biosynthetic process from serine","BP",1,0,1,1
"GO:0035397","helper T cell enhancement of adaptive immune response","BP",1,0,1,1
"GO:0035759","mesangial cell-matrix adhesion","BP",1,0,1,1
"GO:0072209","metanephric mesangial cell differentiation","BP",1,0,1,1
"GO:0072254","metanephric glomerular mesangial cell differentiation","BP",1,0,1,1
"GO:1900035","negative regulation of cellular response to heat","BP",1,0,1,1
"GO:0015912","short-chain fatty acid transport","BP",1,0,1,1
"GO:0035634","response to stilbenoid","BP",1,0,1,1
"GO:0150024","oxidised low-density lipoprotein particle clearance","BP",1,0,1,1
"GO:0015920","lipopolysaccharide transport","BP",1,0,1,1
"GO:0043126","regulation of 1-phosphatidylinositol 4-kinase activity","BP",1,0,1,1
"GO:0043128","positive regulation of 1-phosphatidylinositol 4-kinase activity","BP",1,0,1,1
"GO:1905676","positive regulation of adaptive immune memory response","BP",1,0,1,1
"GO:0071217","cellular response to external biotic stimulus","BP",1,0,1,1
"GO:0000741","karyogamy","BP",1,0,1,1
"GO:0007344","pronuclear fusion","BP",1,0,1,1
"GO:0048664","neuron fate determination","BP",1,0,1,1
"GO:0060661","submandibular salivary gland formation","BP",1,0,1,1
"GO:0086101","endothelin receptor signaling pathway involved in heart process","BP",1,0,1,1
"GO:0051796","negative regulation of timing of catagen","BP",1,0,1,1
"GO:0060901","regulation of hair cycle by canonical Wnt signaling pathway","BP",1,0,1,1
"GO:1902908","regulation of melanosome transport","BP",1,0,1,1
"GO:1902910","positive regulation of melanosome transport","BP",1,0,1,1
"GO:0033626","positive regulation of integrin activation by cell surface receptor linked signal transduction","BP",1,0,1,1
"GO:1903837","regulation of mRNA 3'-UTR binding","BP",1,0,1,1
"GO:1903839","positive regulation of mRNA 3'-UTR binding","BP",1,0,1,1
"GO:0018350","protein esterification","BP",1,0,1,1
"GO:0044258","intestinal lipid catabolic process","BP",1,0,1,1
"GO:0051316","attachment of spindle microtubules to kinetochore involved in meiotic chromosome segregation","BP",1,0,1,1
"GO:0051455","monopolar spindle attachment to meiosis I kinetochore","BP",1,0,1,1
"GO:0099606","microtubule plus-end directed mitotic chromosome migration","BP",1,0,1,1
"GO:0090122","cholesterol ester hydrolysis involved in cholesterol transport","BP",1,0,1,1
"GO:0044245","polysaccharide digestion","BP",1,0,1,1
"GO:0060084","synaptic transmission involved in micturition","BP",1,0,1,1
"GO:0090262","regulation of transcription-coupled nucleotide-excision repair","BP",1,0,1,1
"GO:0060689","cell differentiation involved in salivary gland development","BP",1,0,1,1
"GO:0097401","synaptic vesicle lumen acidification","BP",1,0,1,1
"GO:1902847","regulation of neuronal signal transduction","BP",1,0,1,1
"GO:1902998","positive regulation of neurofibrillary tangle assembly","BP",1,0,1,1
"GO:1904578","response to thapsigargin","BP",1,0,1,1
"GO:1904579","cellular response to thapsigargin","BP",1,0,1,1
"GO:1905891","regulation of cellular response to thapsigargin","BP",1,0,1,1
"GO:1905892","negative regulation of cellular response to thapsigargin","BP",1,0,1,1
"GO:1905894","regulation of cellular response to tunicamycin","BP",1,0,1,1
"GO:1905895","negative regulation of cellular response to tunicamycin","BP",1,0,1,1
"GO:0035752","lysosomal lumen pH elevation","BP",1,0,1,1
"GO:0090384","phagosome-lysosome docking","BP",1,0,1,1
"GO:1900079","regulation of arginine biosynthetic process","BP",1,0,1,1
"GO:1904156","DN3 thymocyte differentiation","BP",1,0,1,1
"GO:0015723","bilirubin transport","BP",1,0,1,1
"GO:0099105","ion channel modulating, G protein-coupled receptor signaling pathway","BP",1,0,1,1
"GO:1904716","positive regulation of chaperone-mediated autophagy","BP",1,0,1,1
"GO:0071306","cellular response to vitamin E","BP",1,0,1,1
"GO:1902311","regulation of copper ion transmembrane transport","BP",1,0,1,1
"GO:0048033","heme O metabolic process","BP",1,0,1,1
"GO:0048034","heme O biosynthetic process","BP",1,0,1,1
"GO:0070408","carbamoyl phosphate metabolic process","BP",1,0,1,1
"GO:0070409","carbamoyl phosphate biosynthetic process","BP",1,0,1,1
"GO:0002435","immune complex clearance by erythrocytes","BP",1,0,1,1
"GO:1900099","negative regulation of plasma cell differentiation","BP",1,0,1,1
"GO:0021550","medulla oblongata development","BP",1,0,1,1
"GO:0021742","abducens nucleus development","BP",1,0,1,1
"GO:0021743","hypoglossal nucleus development","BP",1,0,1,1
"GO:0021754","facial nucleus development","BP",1,0,1,1
"GO:0060741","prostate gland stromal morphogenesis","BP",1,0,1,1
"GO:0061847","response to cholecystokinin","BP",1,0,1,1
"GO:1904530","negative regulation of actin filament binding","BP",1,0,1,1
"GO:1904617","negative regulation of actin binding","BP",1,0,1,1
"GO:0060611","mammary gland fat development","BP",1,0,1,1
"GO:1902228","positive regulation of macrophage colony-stimulating factor signaling pathway","BP",1,0,1,1
"GO:0038043","interleukin-5-mediated signaling pathway","BP",1,0,1,1
"GO:0080163","regulation of protein serine/threonine phosphatase activity","BP",1,0,1,1
"GO:0010711","negative regulation of collagen catabolic process","BP",1,0,1,1
"GO:0060310","regulation of elastin catabolic process","BP",1,0,1,1
"GO:0060311","negative regulation of elastin catabolic process","BP",1,0,1,1
"GO:0018272","protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine","BP",1,0,1,1
"GO:0018352","protein-pyridoxal-5-phosphate linkage","BP",1,0,1,1
"GO:0044524","protein sulfhydration","BP",1,0,1,1
"GO:0007403","glial cell fate determination","BP",1,0,1,1
"GO:0061324","canonical Wnt signaling pathway involved in positive regulation of cardiac outflow tract cell proliferation","BP",1,0,1,1
"GO:0098784","biofilm matrix organization","BP",1,0,1,1
"GO:0098786","biofilm matrix disassembly","BP",1,0,1,1
"GO:0034230","enkephalin processing","BP",1,0,1,1
"GO:0039654","fusion of virus membrane with host endosome membrane","BP",1,0,1,1
"GO:0150089","multiple spine synapse organization","BP",1,0,1,1
"GO:0150090","multiple spine synapse organization, single dendrite","BP",1,0,1,1
"GO:1904150","negative regulation of microglial cell mediated cytotoxicity","BP",1,0,1,1
"GO:0086072","AV node cell-bundle of His cell adhesion involved in cell communication","BP",1,0,1,1
"GO:0098904","regulation of AV node cell action potential","BP",1,0,1,1
"GO:0003083","negative regulation of renal output by angiotensin","BP",1,0,1,1
"GO:0003106","negative regulation of glomerular filtration by angiotensin","BP",1,0,1,1
"GO:0014895","smooth muscle hypertrophy","BP",1,0,1,1
"GO:0009403","toxin biosynthetic process","BP",1,0,1,1
"GO:0018894","dibenzo-p-dioxin metabolic process","BP",1,0,1,1
"GO:0002930","trabecular meshwork development","BP",1,0,1,1
"GO:0009698","phenylpropanoid metabolic process","BP",1,0,1,1
